,accuracy,precision,recall,f1_score,auc
Logistic Regression,0.792,0.047707271885132005,0.8110236220472441,0.09011373578302712,0.8729789587605105
Random Forest,0.9873,0.0,0.0,0.0,0.7727629078270412
XGBoost,0.9595,0.11388888888888889,0.3228346456692913,0.16837782340862423,0.8252292301201638
Ensemble,0.9735,0.17142857142857143,0.28346456692913385,0.21364985163204747,0.8733625707907752
